iter        J                  ΔJ                   |d|             α       
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
151   1054.1914634041182    0.4236524769160195   1.1325041805106844    1.0 
152   1053.7729281769505    0.3754017891959456   0.9084872379396122    1.0 
153   1053.3955050844068    0.3650297448624765   0.829218782927611    1.0 
154   1053.0278879912944    1.981095254244016   7.502850484768266    1.0 
155   1051.5464324410752    0.37595202587475185   0.9936269669120932    1.0 
156   1051.1806034811248    0.31780597971726987   0.8513390054539843    1.0 
157   1050.8589356116486    0.33843258638327645   0.7610006709736705    1.0 
158   1050.517108846213    0.4228665249748699   0.8390703265707605    1.0 
159   1050.1047609683333    0.7574287880749361   1.092929379439152    1.0 
160   1049.420251783291    0.5097526778421727   1.7036729194280609    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
161   1048.9548758752821    0.3742061942293221   0.8543087018228267    1.0 
162   1048.5794187104984    1.0817844459559924   7.171570353597919    1.0 
163   1047.8439481002251    0.3505842684092394   0.9910508897021724    1.0 
164   1047.496088494649    0.30674712996267894   0.8786376316879759    1.0 
165   1047.184396336033    0.3210799571133557   0.8128916770481724    1.0 
166   1046.8621678942657    1.415799319239315   1.2977979267799533    1.0 
167   1045.6708894030191    0.4334364212564698   1.6168114946335597    1.0 
168   1045.2701570188663    0.4349678208256883   1.0535146683002499    1.0 
169   1044.8347014726105    0.3892529319750184   0.9629022160838842    1.0 
170   1044.4424367718282    1.0870680531169328   7.745780216017662    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
171   1043.729715040432    0.6731801651541265   1.8103299575625116    1.0 
172   1043.1431266811305    0.2981740166626717   0.9473131418006493    1.0 
173   1042.8433377931112    0.438115585958736   0.7572846915330459    1.0 
174   1042.4281497598463    0.33254383610697025   0.8343635499489127    1.0 
175   1042.0928249719148    0.3768506837990969   1.2622425778672668    1.0 
176   1041.7206226621915    0.34982550272843915   0.8029256136943611    1.0 
177   1041.36345289996    0.40854481255671676   1.0182728264790564    1.0 
178   1040.9521673325637    0.40523652064073434   0.9282883651994266    1.0 
179   1040.5454125801184    1.0530577044791316   7.486217644624435    1.0 
180   1039.8368620086103    0.3113600238863715   0.8658795125388745    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
181   1039.5220306884205    0.3753083693823558   0.9124428538645613    1.0 
182   1039.1549931380725    0.37416429994596845   1.9070945684622995    1.0 
183   1038.8018042973872    0.33688921534750244   0.7608633380518087    1.0 
184   1038.4584757486862    0.5363582592354011   0.7058042842367137    1.0 
185   1037.9213658306485    0.4564567618077394   1.1038520141539805    1.0 
186   1037.4708997910027    0.4278972779407066   0.9981850189937199    1.0 
187   1037.038837626885    0.3974390608463128   0.9055629454826564    1.0 
188   1036.6391389821779    0.9986603245717399   7.2586450414063375    1.0 
189   1035.968111215869    0.39849660262470665   1.2182222568490144    1.0 
190   1035.5936249415947    0.3345235909554237   0.7623436746027978    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
191   1035.2530787482406    0.32932918767304553   0.7328580394757807    1.0 
192   1034.9166003909882    0.4260612622997197   1.8913636069486137    1.0 
193   1034.5028638891533    0.45778781574876826   1.800205891465374    1.0 
194   1034.0700139681558    0.3793289209723629   0.7702710677471669    1.0 
195   1033.6826697903912    0.44309352103874317   1.0750081075077307    1.0 
196   1033.238901161715    0.4361095135118494   0.9843165924747063    1.0 
197   1032.803741717515    1.1481766305568541   7.818840454318839    1.0 
198   1032.0415009344392    0.3298801542893338   0.885770991723047    1.0 
199   1031.7065773209267    0.3136344689219738   0.809758006289322    1.0 
200   1031.3872418890433    0.3007199243286456   0.739613272731274    1.0 
